epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2022,0.97957,1.69573,1.25698,0.32648,0.51284,0.35942,0.2592,0.71074,1.96658,0.99612,0.00029819,0.00029819,0.00029819
2,70.0707,0.82064,1.11205,1.12578,0.48911,0.49284,0.36549,0.26468,0.76228,1.16099,1.08655,0.000597223,0.000597223,0.000597223
3,98.8443,0.81483,1.02902,1.12094,0.32888,0.52803,0.40952,0.2774,0.89541,1.11417,1.24339,0.000892255,0.000892255,0.000892255
4,127.537,0.81937,1.00511,1.12113,0.3953,0.45683,0.33986,0.25313,0.81841,1.47811,1.14765,0.000891002,0.000891002,0.000891002
5,157.278,0.81212,0.96022,1.11618,0.43167,0.45997,0.38653,0.2706,0.95835,1.59703,1.40586,0.000885002,0.000885002,0.000885002
6,187.25,0.78825,0.91802,1.10494,0.42778,0.5638,0.48615,0.36005,0.65194,0.79763,1.04684,0.000879003,0.000879003,0.000879003
7,221.759,0.75838,0.8802,1.08815,0.35867,0.58315,0.44675,0.33001,0.66715,0.87415,1.04784,0.000873004,0.000873004,0.000873004
8,251.104,0.7455,0.86633,1.08371,0.46033,0.58762,0.53413,0.39524,0.64277,0.79023,1.04188,0.000867004,0.000867004,0.000867004
9,280.912,0.7415,0.83841,1.0807,0.59035,0.60342,0.56331,0.41544,0.64179,0.73726,1.03396,0.000861005,0.000861005,0.000861005
10,311.503,0.73778,0.83698,1.08059,0.64256,0.57505,0.56777,0.42654,0.64738,0.80446,1.03586,0.000855005,0.000855005,0.000855005
11,352.907,0.73359,0.80996,1.07544,0.48427,0.56528,0.54372,0.40987,0.62532,0.74377,1.02807,0.000849006,0.000849006,0.000849006
12,382.562,0.73679,0.81034,1.0791,0.48183,0.61857,0.54456,0.4309,0.61779,0.73305,1.01216,0.000843007,0.000843007,0.000843007
13,412.705,0.73357,0.80521,1.07382,0.55604,0.47445,0.48922,0.36132,0.64846,0.95273,1.04517,0.000837007,0.000837007,0.000837007
14,442.678,0.72483,0.79597,1.07292,0.58748,0.56277,0.60548,0.44973,0.61893,0.71903,1.02165,0.000831008,0.000831008,0.000831008
15,472.663,0.72431,0.77317,1.07183,0.58618,0.56185,0.58505,0.44987,0.60389,0.70194,1.00595,0.000825008,0.000825008,0.000825008
16,503.389,0.71342,0.77057,1.06237,0.59517,0.61941,0.60507,0.46361,0.60017,0.77654,1.0306,0.000819009,0.000819009,0.000819009
17,549.04,0.70616,0.76469,1.06383,0.55284,0.63927,0.63039,0.48819,0.58793,0.6805,0.99652,0.00081301,0.00081301,0.00081301
18,581.079,0.7118,0.75237,1.06235,0.58162,0.59574,0.61843,0.4589,0.63162,0.71368,1.02591,0.00080701,0.00080701,0.00080701
19,611.204,0.70711,0.74556,1.06149,0.6126,0.63114,0.65207,0.49289,0.59127,0.64823,1.00166,0.000801011,0.000801011,0.000801011
20,641.782,0.69683,0.74083,1.05496,0.64952,0.57551,0.63954,0.48031,0.60676,0.736,1.0103,0.000795011,0.000795011,0.000795011
21,671.715,0.70103,0.73018,1.05634,0.65654,0.59051,0.65367,0.49988,0.58841,0.66658,1.00498,0.000789012,0.000789012,0.000789012
22,701.656,0.69228,0.71952,1.05493,0.62771,0.55765,0.59353,0.44365,0.66813,0.788,1.05252,0.000783013,0.000783013,0.000783013
23,731.626,0.68738,0.71244,1.05166,0.67197,0.57222,0.65283,0.49694,0.58178,0.67775,0.99435,0.000777013,0.000777013,0.000777013
24,761.836,0.68612,0.71415,1.05224,0.65834,0.61107,0.66454,0.51896,0.58434,0.63751,0.9992,0.000771014,0.000771014,0.000771014
25,791.996,0.68845,0.69535,1.04701,0.6751,0.63838,0.67826,0.51138,0.61097,0.66417,1.01206,0.000765014,0.000765014,0.000765014
26,821.973,0.68847,0.69406,1.04731,0.58148,0.67228,0.64203,0.48003,0.57456,0.73162,0.99615,0.000759015,0.000759015,0.000759015
27,851.978,0.67544,0.68533,1.0449,0.64368,0.65558,0.68216,0.52534,0.57658,0.6351,0.99,0.000753016,0.000753016,0.000753016
28,882.071,0.67512,0.67616,1.04907,0.66604,0.66197,0.69486,0.54498,0.56702,0.61742,0.98669,0.000747016,0.000747016,0.000747016
29,913.963,0.66731,0.67531,1.04256,0.73851,0.59529,0.66499,0.50957,0.59146,0.64472,1.00543,0.000741017,0.000741017,0.000741017
30,944.78,0.67562,0.66495,1.04523,0.56252,0.6129,0.63108,0.48129,0.57856,0.68342,1.00284,0.000735017,0.000735017,0.000735017
31,982.079,0.66765,0.66113,1.0424,0.61653,0.70508,0.7056,0.54669,0.58085,0.59343,0.99682,0.000729018,0.000729018,0.000729018
32,1011.78,0.67216,0.66275,1.03952,0.66359,0.68685,0.71514,0.54946,0.56748,0.60199,0.98386,0.000723019,0.000723019,0.000723019
33,1041.79,0.6782,0.65738,1.04572,0.72064,0.62604,0.7057,0.53129,0.56843,0.62849,0.99243,0.000717019,0.000717019,0.000717019
34,1071.75,0.66841,0.65295,1.04175,0.64766,0.72121,0.72596,0.5628,0.56762,0.6178,0.98596,0.00071102,0.00071102,0.00071102
35,1101.95,0.65867,0.64585,1.03339,0.7134,0.63251,0.70294,0.55524,0.55769,0.60648,0.98632,0.00070502,0.00070502,0.00070502
36,1132.06,0.6684,0.62628,1.04224,0.64147,0.67205,0.68795,0.51231,0.59618,0.66287,1.01528,0.000699021,0.000699021,0.000699021
37,1162.26,0.65405,0.61691,1.03559,0.68488,0.614,0.68173,0.52302,0.55724,0.65389,0.99279,0.000693022,0.000693022,0.000693022
38,1192.51,0.66398,0.63137,1.03598,0.67311,0.68353,0.70681,0.53994,0.5912,0.61923,1.00084,0.000687022,0.000687022,0.000687022
39,1222.71,0.659,0.62445,1.03401,0.64868,0.72283,0.72431,0.55868,0.55983,0.61788,0.98872,0.000681023,0.000681023,0.000681023
40,1252.82,0.65246,0.60959,1.032,0.61746,0.68699,0.68171,0.54135,0.54851,0.60297,0.98019,0.000675023,0.000675023,0.000675023
41,1283.25,0.65316,0.60848,1.03147,0.68508,0.68494,0.72148,0.55599,0.56227,0.59854,0.99016,0.000669024,0.000669024,0.000669024
42,1313.55,0.6496,0.58827,1.02963,0.64536,0.68991,0.70825,0.54705,0.55119,0.59802,0.98143,0.000663025,0.000663025,0.000663025
43,1349.98,0.64728,0.59714,1.03154,0.69204,0.67446,0.7157,0.54976,0.56292,0.59475,0.98901,0.000657025,0.000657025,0.000657025
44,1396.34,0.64795,0.59484,1.02924,0.71203,0.7118,0.76175,0.58377,0.56114,0.54731,0.98535,0.000651026,0.000651026,0.000651026
45,1444.36,0.64735,0.59286,1.02836,0.72345,0.71342,0.77064,0.5908,0.57197,0.59205,0.99308,0.000645026,0.000645026,0.000645026
46,1491.29,0.64402,0.58427,1.02979,0.72373,0.70969,0.76063,0.5934,0.55135,0.54411,0.98787,0.000639027,0.000639027,0.000639027
47,1538.9,0.64162,0.5816,1.02599,0.73637,0.66268,0.73997,0.57087,0.56114,0.646,0.99084,0.000633028,0.000633028,0.000633028
48,1585.45,0.64306,0.57279,1.02873,0.67102,0.7938,0.77585,0.60172,0.54496,0.56848,0.97848,0.000627028,0.000627028,0.000627028
49,1632.32,0.64515,0.57858,1.02844,0.69807,0.74408,0.77492,0.60284,0.54534,0.56726,0.98283,0.000621029,0.000621029,0.000621029
50,1680.41,0.64117,0.58002,1.02637,0.71296,0.66162,0.73095,0.55896,0.58476,0.63084,1.00709,0.000615029,0.000615029,0.000615029
51,1729.94,0.64106,0.56623,1.02871,0.71025,0.73362,0.74942,0.58579,0.55177,0.54573,0.98023,0.00060903,0.00060903,0.00060903
52,1776.51,0.62548,0.55536,1.02031,0.71405,0.71245,0.75488,0.58704,0.54145,0.58673,0.97974,0.000603031,0.000603031,0.000603031
53,1822.71,0.63082,0.546,1.02031,0.70845,0.69986,0.73459,0.57717,0.56293,0.58941,0.98841,0.000597031,0.000597031,0.000597031
54,1869.01,0.63369,0.55559,1.02324,0.7292,0.70858,0.76449,0.58893,0.56447,0.59658,0.98763,0.000591032,0.000591032,0.000591032
55,1915.32,0.62705,0.55036,1.01928,0.69263,0.72446,0.76019,0.59571,0.54293,0.6008,0.98814,0.000585032,0.000585032,0.000585032
56,1961.88,0.63575,0.53687,1.0212,0.7389,0.76738,0.79715,0.62165,0.54239,0.53171,0.97717,0.000579033,0.000579033,0.000579033
57,2009.15,0.62768,0.54375,1.01932,0.73496,0.7279,0.77995,0.59671,0.54963,0.5461,0.98732,0.000573034,0.000573034,0.000573034
58,2055.29,0.62167,0.52858,1.01584,0.64571,0.73563,0.7319,0.57167,0.54463,0.60373,0.98727,0.000567034,0.000567034,0.000567034
59,2101.67,0.62536,0.53036,1.01902,0.79965,0.68176,0.80738,0.64426,0.54365,0.51709,0.97965,0.000561035,0.000561035,0.000561035
60,2147.47,0.62586,0.53213,1.01606,0.75246,0.64108,0.73154,0.56975,0.55097,0.61565,0.99412,0.000555035,0.000555035,0.000555035
61,2193.84,0.61224,0.5272,1.01431,0.72026,0.74959,0.7879,0.6194,0.53481,0.52273,0.9803,0.000549036,0.000549036,0.000549036
62,2241.34,0.61706,0.52337,1.01539,0.71195,0.67117,0.72579,0.56333,0.56135,0.62287,1.00111,0.000543037,0.000543037,0.000543037
63,2288.43,0.62206,0.51828,1.01674,0.72441,0.69647,0.75364,0.56888,0.56331,0.63595,1.00039,0.000537037,0.000537037,0.000537037
64,2335.67,0.61633,0.51166,1.01579,0.73622,0.72071,0.79229,0.62286,0.53886,0.54406,0.98707,0.000531038,0.000531038,0.000531038
65,2382.16,0.6132,0.51185,1.0128,0.71877,0.75649,0.80349,0.63356,0.5369,0.51923,0.98249,0.000525038,0.000525038,0.000525038
66,2429.09,0.61347,0.51373,1.01304,0.72996,0.77699,0.80081,0.62507,0.53467,0.52185,0.97886,0.000519039,0.000519039,0.000519039
67,2476.78,0.61209,0.49777,1.01204,0.7108,0.70896,0.75986,0.58545,0.54359,0.57803,0.98935,0.00051304,0.00051304,0.00051304
68,2523.73,0.60796,0.50088,1.00739,0.73613,0.71408,0.77225,0.60352,0.56377,0.58728,0.99627,0.00050704,0.00050704,0.00050704
69,2570.77,0.60831,0.49185,1.01157,0.7638,0.70915,0.79006,0.61993,0.54246,0.54963,0.98664,0.000501041,0.000501041,0.000501041
70,2618.26,0.61105,0.4927,1.01281,0.69153,0.77782,0.79834,0.62994,0.53851,0.51959,0.97908,0.000495041,0.000495041,0.000495041
71,2665.14,0.61176,0.48711,1.00995,0.68407,0.7746,0.77807,0.60589,0.53549,0.54827,0.98138,0.000489042,0.000489042,0.000489042
72,2712.14,0.60809,0.4892,1.00893,0.68066,0.72922,0.75499,0.58851,0.54881,0.58167,0.99275,0.000483043,0.000483043,0.000483043
