epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.255,0.95628,1.83502,1.19261,0.28741,0.52694,0.30989,0.22097,0.78815,1.33876,1.01791,0.000302395,0.000302395,0.000302395
2,647.761,0.89946,1.27691,1.1534,0.42554,0.54564,0.35722,0.25507,0.77231,1.10544,1.02314,0.000593408,0.000593408,0.000593408
3,960.776,0.87507,1.20068,1.13511,0.43016,0.48401,0.34449,0.25769,0.73605,1.06207,1.00006,0.000872423,0.000872423,0.000872423
4,1270.72,0.8519,1.11543,1.12869,0.47139,0.55846,0.45322,0.33947,0.66221,0.92789,0.99582,0.000855005,0.000855005,0.000855005
5,1581.43,0.83076,1.05886,1.11698,0.35789,0.51986,0.40211,0.2841,0.74295,0.96751,1.00779,0.000837007,0.000837007,0.000837007
6,1886.28,0.81613,1.02562,1.11051,0.35484,0.53655,0.43826,0.32123,0.63837,0.89157,0.99269,0.000819009,0.000819009,0.000819009
7,2191.87,0.8047,0.99698,1.10338,0.54322,0.50589,0.49128,0.36678,0.66005,0.82993,0.99452,0.000801011,0.000801011,0.000801011
8,2495.32,0.80118,0.97224,1.09989,0.54811,0.51218,0.52127,0.38654,0.63777,0.80521,1.00449,0.000783013,0.000783013,0.000783013
9,2807.2,0.79086,0.95179,1.1003,0.51906,0.53924,0.50847,0.3812,0.61943,0.79431,0.99443,0.000765014,0.000765014,0.000765014
10,3116.31,0.77865,0.9516,1.0921,0.56378,0.56559,0.49078,0.36786,0.61628,0.80707,0.97839,0.000747016,0.000747016,0.000747016
11,3423.36,0.76961,0.94597,1.08589,0.37145,0.58937,0.51762,0.38469,0.62918,0.79564,1.00651,0.000729018,0.000729018,0.000729018
12,3727.19,0.77222,0.92819,1.08983,0.44468,0.60131,0.518,0.39376,0.60023,0.77503,0.98233,0.00071102,0.00071102,0.00071102
13,4034.31,0.76433,0.91664,1.08587,0.43533,0.63796,0.52702,0.41083,0.60755,0.7456,0.98071,0.000693022,0.000693022,0.000693022
14,4343.44,0.75478,0.90307,1.08121,0.48507,0.57712,0.54685,0.41816,0.62385,0.77393,0.99369,0.000675023,0.000675023,0.000675023
15,4654.64,0.75231,0.88944,1.08634,0.46029,0.66205,0.56121,0.43541,0.58925,0.75206,0.98046,0.000657025,0.000657025,0.000657025
16,4959.76,0.74165,0.87929,1.07889,0.44561,0.63023,0.50934,0.37302,0.73794,0.95831,1.08265,0.000639027,0.000639027,0.000639027
17,5266.97,0.73865,0.87316,1.07112,0.46946,0.58805,0.55092,0.42403,0.59922,0.73845,0.98814,0.000621029,0.000621029,0.000621029
18,5570.57,0.74527,0.86153,1.08191,0.47394,0.57541,0.5519,0.42528,0.58143,0.73572,0.98283,0.000603031,0.000603031,0.000603031
19,5898.96,0.73058,0.85222,1.07649,0.57918,0.56794,0.58632,0.45468,0.57109,0.69197,0.97837,0.000585032,0.000585032,0.000585032
20,6204.56,0.73302,0.84909,1.07479,0.5836,0.58618,0.5689,0.43987,0.58325,0.71712,0.98504,0.000567034,0.000567034,0.000567034
21,6512.37,0.729,0.84601,1.07157,0.47322,0.61828,0.58809,0.45681,0.56586,0.684,0.97599,0.000549036,0.000549036,0.000549036
22,6817.01,0.72566,0.83605,1.07081,0.49852,0.65946,0.60657,0.46218,0.57924,0.69396,0.98306,0.000531038,0.000531038,0.000531038
23,7125.58,0.71905,0.82869,1.06756,0.55579,0.5973,0.59499,0.46174,0.59301,0.6758,0.99709,0.00051304,0.00051304,0.00051304
24,349.547,0.70827,0.82332,1.06127,0.52743,0.63658,0.5854,0.45867,0.56473,0.66775,0.97708,0.000495041,0.000495041,0.000495041
25,712.244,0.71575,0.81559,1.0639,0.42409,0.64999,0.58433,0.45075,0.56397,0.69697,0.97884,0.000477043,0.000477043,0.000477043
26,1025.59,0.70827,0.8127,1.06062,0.52809,0.65682,0.62905,0.49042,0.55892,0.65583,0.97698,0.000459045,0.000459045,0.000459045
27,1362.32,0.70627,0.79808,1.06233,0.59802,0.65429,0.63277,0.48743,0.57552,0.64431,0.98607,0.000441047,0.000441047,0.000441047
28,1666.97,0.69377,0.78297,1.05532,0.5665,0.6199,0.62832,0.4927,0.55521,0.63952,0.97588,0.000423049,0.000423049,0.000423049
29,1978.12,0.6876,0.77733,1.05513,0.58049,0.63455,0.64416,0.49791,0.55711,0.63234,0.9787,0.00040505,0.00040505,0.00040505
30,2314.76,0.6853,0.76925,1.04828,0.5513,0.70097,0.65908,0.51564,0.54044,0.62944,0.97317,0.000387052,0.000387052,0.000387052
31,2640.3,0.69054,0.76961,1.05006,0.53616,0.67962,0.64561,0.50139,0.553,0.62539,0.97616,0.000369054,0.000369054,0.000369054
32,2960.21,0.68005,0.75367,1.04917,0.5427,0.6667,0.63533,0.50121,0.53645,0.60895,0.97193,0.000351056,0.000351056,0.000351056
33,3283.5,0.67939,0.75002,1.04597,0.51647,0.66454,0.6296,0.49973,0.54019,0.62357,0.97138,0.000333058,0.000333058,0.000333058
34,3602.02,0.67445,0.75128,1.04149,0.57115,0.70554,0.65732,0.51288,0.54458,0.60166,0.97321,0.000315059,0.000315059,0.000315059
35,3925.46,0.67424,0.73936,1.0466,0.54564,0.71347,0.65247,0.51466,0.53763,0.60163,0.96631,0.000297061,0.000297061,0.000297061
36,4249.05,0.67309,0.7339,1.0446,0.59204,0.65455,0.65864,0.52095,0.53072,0.59363,0.96694,0.000279063,0.000279063,0.000279063
37,4569.98,0.6568,0.72476,1.03901,0.66426,0.63284,0.67739,0.52698,0.53503,0.58536,0.96653,0.000261065,0.000261065,0.000261065
38,4890.65,0.66263,0.7201,1.04413,0.6277,0.65964,0.67381,0.52638,0.52751,0.59034,0.96165,0.000243067,0.000243067,0.000243067
39,5215.31,0.65203,0.70635,1.03656,0.62131,0.70257,0.67864,0.53222,0.52778,0.58144,0.96158,0.000225068,0.000225068,0.000225068
40,5535.04,0.65351,0.70209,1.0326,0.62797,0.66569,0.67808,0.53725,0.53235,0.58096,0.96902,0.00020707,0.00020707,0.00020707
41,5855,0.53788,0.59092,0.96088,0.62053,0.67614,0.68714,0.54094,0.52702,0.58194,0.96276,0.000189072,0.000189072,0.000189072
42,6170.1,0.52985,0.56453,0.95628,0.56712,0.71191,0.68882,0.54701,0.5289,0.5749,0.96609,0.000171074,0.000171074,0.000171074
43,6488.13,0.52101,0.54575,0.94811,0.68177,0.64207,0.71005,0.55728,0.52308,0.5692,0.96453,0.000153076,0.000153076,0.000153076
44,6803.89,0.51898,0.53559,0.94864,0.65065,0.68972,0.71849,0.55972,0.52168,0.56462,0.9627,0.000135077,0.000135077,0.000135077
45,7120.57,0.51226,0.53027,0.94849,0.66833,0.6595,0.71434,0.56324,0.52095,0.56407,0.96169,0.000117079,0.000117079,0.000117079
46,7436.33,0.50947,0.51546,0.94527,0.66718,0.70486,0.72869,0.57211,0.52021,0.55257,0.9614,9.9081e-05,9.9081e-05,9.9081e-05
47,7759.18,0.50277,0.50667,0.94083,0.70442,0.68153,0.72758,0.57029,0.52041,0.55756,0.96216,8.10828e-05,8.10828e-05,8.10828e-05
48,8077.58,0.49981,0.5013,0.93863,0.67616,0.68719,0.72684,0.56759,0.52117,0.55544,0.96298,6.30846e-05,6.30846e-05,6.30846e-05
49,8397.39,0.49493,0.49411,0.94058,0.69148,0.70247,0.73035,0.57472,0.52,0.55422,0.96123,4.50864e-05,4.50864e-05,4.50864e-05
50,8716.99,0.49251,0.48062,0.93266,0.67906,0.69224,0.7251,0.57029,0.51927,0.55409,0.96224,2.70882e-05,2.70882e-05,2.70882e-05
