epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.809,0.92866,1.42616,1.21938,0.28408,0.47955,0.34431,0.25137,0.8359,1.18692,1.13553,0.000302395,0.000302395,0.000302395
2,163.964,0.87692,1.1133,1.16678,0.45748,0.49735,0.35906,0.25933,0.79689,1.05277,1.16631,0.000593408,0.000593408,0.000593408
3,279.525,0.86536,1.06095,1.14888,0.45195,0.52293,0.40561,0.29715,0.72679,0.9031,1.08866,0.000872423,0.000872423,0.000872423
4,392.419,0.84811,1.02319,1.14118,0.29397,0.53324,0.43285,0.31297,0.69802,0.88538,1.06639,0.000855005,0.000855005,0.000855005
5,507.637,0.82533,0.99706,1.12766,0.44802,0.60037,0.51032,0.3829,0.66228,0.82368,1.04851,0.000837007,0.000837007,0.000837007
6,618.84,0.80018,0.97281,1.11347,0.36108,0.53153,0.48694,0.36125,0.64682,0.79218,1.04443,0.000819009,0.000819009,0.000819009
7,714.855,0.79352,0.93656,1.10854,0.3973,0.5466,0.49495,0.37693,0.62379,0.80356,1.02488,0.000801011,0.000801011,0.000801011
8,818.773,0.78041,0.92092,1.0991,0.59293,0.52259,0.50609,0.38834,0.61494,0.73757,1.01958,0.000783013,0.000783013,0.000783013
9,922.178,0.77553,0.90966,1.1005,0.43194,0.62459,0.51822,0.39878,0.60052,0.76059,1.01024,0.000765014,0.000765014,0.000765014
10,1021.55,0.76934,0.89965,1.09978,0.46093,0.52078,0.5322,0.40875,0.60699,0.72922,1.01442,0.000747016,0.000747016,0.000747016
11,1124.92,0.76264,0.88206,1.09104,0.45495,0.64114,0.54118,0.40699,0.60639,0.72205,1.01653,0.000729018,0.000729018,0.000729018
12,1226.11,0.74603,0.86271,1.08185,0.51873,0.62981,0.59028,0.45445,0.58138,0.67631,1.0067,0.00071102,0.00071102,0.00071102
13,1329.41,0.74076,0.85648,1.08342,0.51167,0.58742,0.5783,0.43668,0.58333,0.74264,0.99785,0.000693022,0.000693022,0.000693022
14,1434.43,0.7333,0.85161,1.07843,0.55395,0.63078,0.6194,0.46664,0.59353,0.69398,1.0079,0.000675023,0.000675023,0.000675023
15,1538.31,0.73057,0.83951,1.07981,0.51367,0.6463,0.60997,0.46593,0.58229,0.68304,1.00029,0.000657025,0.000657025,0.000657025
16,1639.09,0.7206,0.82237,1.06751,0.52945,0.59786,0.60611,0.46232,0.59191,0.68276,1.00467,0.000639027,0.000639027,0.000639027
17,1745.13,0.73381,0.83697,1.0791,0.53438,0.65623,0.60136,0.44992,0.57472,0.69037,0.99108,0.000621029,0.000621029,0.000621029
18,1848.27,0.71155,0.81277,1.06127,0.53028,0.66034,0.62619,0.47453,0.58431,0.66673,0.99823,0.000603031,0.000603031,0.000603031
19,1948.81,0.71679,0.80448,1.06708,0.57852,0.6876,0.68192,0.5216,0.57209,0.63575,0.99229,0.000585032,0.000585032,0.000585032
20,2050.46,0.70955,0.78481,1.06573,0.62539,0.61452,0.65273,0.49879,0.55708,0.64205,0.98342,0.000567034,0.000567034,0.000567034
21,2151.64,0.7113,0.78623,1.06598,0.66298,0.61998,0.66811,0.51644,0.57258,0.68097,0.98823,0.000549036,0.000549036,0.000549036
22,2252.92,0.7004,0.78189,1.06008,0.60401,0.6685,0.68551,0.52673,0.55775,0.62752,0.98774,0.000531038,0.000531038,0.000531038
23,2354.91,0.69992,0.77564,1.0614,0.60312,0.64934,0.67856,0.52176,0.54536,0.65432,0.97682,0.00051304,0.00051304,0.00051304
24,2429.92,0.68946,0.76339,1.05416,0.59156,0.66325,0.67785,0.52049,0.54781,0.63275,0.97536,0.000495041,0.000495041,0.000495041
25,2472.6,0.69172,0.7612,1.058,0.60271,0.65402,0.6648,0.5146,0.55108,0.62043,0.9765,0.000477043,0.000477043,0.000477043
26,2515.51,0.68402,0.75566,1.05214,0.64918,0.62549,0.68083,0.52741,0.54406,0.61424,0.973,0.000459045,0.000459045,0.000459045
27,2558.51,0.6763,0.73126,1.05079,0.59811,0.70931,0.6762,0.5278,0.54331,0.61407,0.9779,0.000441047,0.000441047,0.000441047
28,2601.46,0.67407,0.73014,1.04851,0.64011,0.69916,0.72275,0.55947,0.5347,0.59807,0.97206,0.000423049,0.000423049,0.000423049
